Algorithm,Operation,Size_Label,Mean_ms,Median_ms,StdDev_ms,CI95_ms,Throughput_MBs
AES-CBC,Decrypt,1KB,1.933,1.873,0.316,0.113,505.17
AES-CBC,Encrypt,1KB,2.405,2.401,0.016,0.006,405.98
AES-CCM,Decrypt,1KB,4.08,3.994,0.303,0.108,239.34
AES-CCM,Encrypt,1KB,2.984,2.982,0.011,0.004,327.23
AES-CFB,Decrypt,1KB,2.0,1.908,0.243,0.087,488.17
AES-CFB,Encrypt,1KB,2.47,2.46,0.043,0.016,395.41
AES-CTR,Decrypt,1KB,1.941,1.927,0.039,0.014,503.24
AES-CTR,Encrypt,1KB,1.936,1.932,0.023,0.008,504.4
AES-ECB,Decrypt,1KB,1.666,1.65,0.082,0.029,586.25
AES-ECB,Encrypt,1KB,1.611,1.608,0.022,0.008,606.16
AES-GCM,Decrypt,1KB,3.467,3.352,0.581,0.208,281.66
AES-GCM,Encrypt,1KB,2.35,2.354,0.026,0.009,415.54
AES-OFB,Decrypt,1KB,2.547,2.548,0.011,0.004,383.4
AES-OFB,Encrypt,1KB,2.547,2.545,0.017,0.006,383.49
AES-XTS,Decrypt,1KB,2.778,2.734,0.173,0.062,351.53
AES-XTS,Encrypt,1KB,2.764,2.729,0.168,0.06,353.27
AES-CBC,Decrypt,4KB,2.275,2.267,0.026,0.009,1716.96
AES-CBC,Encrypt,4KB,4.983,4.9,0.328,0.117,783.97
AES-CCM,Decrypt,4KB,6.945,6.861,0.275,0.099,562.43
AES-CCM,Encrypt,4KB,5.845,5.838,0.03,0.011,668.28
AES-CFB,Decrypt,4KB,2.569,2.562,0.031,0.011,1520.61
AES-CFB,Encrypt,4KB,5.024,4.966,0.236,0.085,777.47
AES-CTR,Decrypt,4KB,2.343,2.31,0.134,0.048,1666.96
AES-CTR,Encrypt,4KB,2.361,2.316,0.186,0.066,1654.79
AES-ECB,Decrypt,4KB,2.008,2.005,0.01,0.003,1945.63
AES-ECB,Encrypt,4KB,1.971,1.97,0.009,0.003,1981.66
AES-GCM,Decrypt,4KB,4.287,4.228,0.303,0.108,911.16
AES-GCM,Encrypt,4KB,3.224,3.206,0.1,0.036,1211.59
AES-OFB,Decrypt,4KB,5.122,5.122,0.009,0.003,762.65
AES-OFB,Encrypt,4KB,5.123,5.114,0.029,0.01,762.54
AES-XTS,Decrypt,4KB,4.542,4.54,0.016,0.006,860.0
AES-XTS,Encrypt,4KB,4.552,4.549,0.016,0.006,858.11
AES-CBC,Decrypt,16KB,4.151,4.049,0.347,0.124,3763.88
AES-CBC,Encrypt,16KB,15.111,14.95,0.414,0.148,1033.99
