OS,Mode,Size_Label,Size_KB,Mean_ms,Median_ms,StdDev_ms,CI95_ms,Throughput_MBs
Windows 11 (MinGW),CTR,1KB,1.0,0.0019361,0.001932,2.269490296717869e-05,8.121266726402935e-06,504.3967253757554
Windows 11 (MinGW),CBC,1KB,1.0,0.0024054666666666674,0.002401,1.6190106245169786e-05,5.793555113938041e-06,405.9763178316056
Windows 11 (MinGW),OFB,1KB,1.0,0.0025465000000000006,0.0025454999999999996,1.653366471673829e-05,5.916495934075419e-06,383.4920479088945
Windows 11 (MinGW),CFB,1KB,1.0,0.002469733333333333,0.00246,4.344868819362822e-05,1.5547913390203592e-05,395.41212276629057
Windows 11 (MinGW),XTS,1KB,1.0,0.002764333333333333,0.0027285000000000005,0.00016831852671878286,6.023201123421008e-05,353.2723381164838
Windows 11 (MinGW),ECB,1KB,1.0,0.0016110666666666667,0.0016085000000000001,2.2247717175931305e-05,7.961243346165102e-06,606.158963005876
Windows 11 (MinGW),GCM,1KB,1.0,0.0023500999999999995,0.002354,2.6482720456150692e-05,9.476719806918994e-06,415.54082804987036
Windows 11 (MinGW),CCM,1KB,1.0,0.0029843666666666663,0.0029825,1.0691547848758778e-05,3.825921261855197e-06,327.2260446102468
Windows 11 (MinGW),CTR,4KB,4.0,0.0023605666666666665,0.0023165,0.00018564049114894895,6.643059659789675e-05,1654.7933405820638
Windows 11 (MinGW),CBC,4KB,4.0,0.004982666666666667,0.004899499999999999,0.0003280266319437612,0.00011738282270832122,783.9677548835964
Windows 11 (MinGW),OFB,4KB,4.0,0.005122700000000001,0.0051135,2.8669520039762514e-05,1.0259255987901232e-05,762.537333827864
Windows 11 (MinGW),CFB,4KB,4.0,0.005024299999999999,0.0049664999999999996,0.00023624332137978357,8.45385868373713e-05,777.4714885655716
Windows 11 (MinGW),XTS,4KB,4.0,0.004552166666666666,0.004548999999999999,1.6324475665304777e-05,5.8416385934033e-06,858.1078607256619
Windows 11 (MinGW),ECB,4KB,4.0,0.0019711999999999998,0.00197,9.181690926831628e-06,3.285625901288583e-06,1981.6609172077924
Windows 11 (MinGW),GCM,4KB,4.0,0.0032240666666666666,0.0032054999999999996,9.95344103844229e-05,3.561793131947625e-05,1211.5909513864476
Windows 11 (MinGW),CCM,4KB,4.0,0.005845266666666666,0.005837500000000001,2.9635641791056545e-05,1.060497821653492e-05,668.2757558822524
