OS,Algorithm,Operation,Value,CI_err,Metric
Windows 11,RSA-3072,Keygen,232.514,47.019999999999996,Latency (ms)
Windows 11,RSA-3072,Encrypt,0.088,0.0005000000000000004,Latency (ms)
Windows 11,RSA-3072,Decrypt,4.404,0.01849999999999996,Latency (ms)
Windows 11,RSA-4096,Keygen,495.326,98.36900000000003,Latency (ms)
Windows 11,RSA-4096,Encrypt,0.091,0.0005000000000000004,Latency (ms)
Windows 11,RSA-4096,Decrypt,5.803,0.017999999999999794,Latency (ms)
Windows 11,Hybrid Encryption - 1 KB,Latency,0.095,0.0005000000000000004,Latency (ms)
Windows 11,Hybrid Encryption - 1 KB,Throughput,294.63,0.0,Throughput (MB/s)
Windows 11,Hybrid Encryption - 1 MB,Latency,1.176,0.033499999999999974,Latency (ms)
Windows 11,Hybrid Encryption - 1 MB,Throughput,944.87,0.0,Throughput (MB/s)
Windows 11,Hybrid Encryption - 100 MB,Latency,99.168,0.3609999999999971,Latency (ms)
Windows 11,Hybrid Encryption - 100 MB,Throughput,1010.02,0.0,Throughput (MB/s)
Linux (Ubuntu),RSA-3072,Keygen,308.323,63.778499999999994,Latency (ms)
Linux (Ubuntu),RSA-3072,Encrypt,0.088,0.0005000000000000004,Latency (ms)
Linux (Ubuntu),RSA-3072,Decrypt,4.342,0.0045000000000001705,Latency (ms)
Linux (Ubuntu),RSA-4096,Keygen,423.548,83.80099999999999,Latency (ms)
Linux (Ubuntu),RSA-4096,Encrypt,0.091,0.0,Latency (ms)
Linux (Ubuntu),RSA-4096,Decrypt,5.692,0.007000000000000117,Latency (ms)
Linux (Ubuntu),Hybrid Encryption - 1 KB,Latency,0.091,0.0,Latency (ms)
Linux (Ubuntu),Hybrid Encryption - 1 KB,Throughput,436.8,0.0,Throughput (MB/s)
Linux (Ubuntu),Hybrid Encryption - 1 MB,Latency,1.228,0.0040000000000000036,Latency (ms)
Linux (Ubuntu),Hybrid Encryption - 1 MB,Throughput,894.7,0.0,Throughput (MB/s)
Linux (Ubuntu),Hybrid Encryption - 100 MB,Latency,91.909,0.4550000000000054,Latency (ms)
Linux (Ubuntu),Hybrid Encryption - 100 MB,Throughput,1089.78,0.0,Throughput (MB/s)
